city,population,distance,county
Addison,"15,500",16,Dallas
Aledo,"3,400",52,Parker
Allen,"98,100",26,Collin
Alma,300,40,Ellis
Alvarado,"4,000",39,Johnson
Alvord,"1,400",74,Wise
Anna,"11,500",45,Collin
Annetta,"1,400",55,Parker
Annetta North,600,56,Parker
Annetta South,600,55,Parker
Argyle,"3,900",41,Denton
Arlington,"388,100",21,Tarrant
Aubrey,"3,400",49,Denton
Aurora,"1,300",50,Wise
Azle,"11,700",50,Tarrant
Balch Springs,"25,200",15,Dallas
Bardwell,700,42,Ellis
Bartonville,"1,700",33,Denton
Bedford,"49,300",23,Tarrant
Benbrook,"22,600",43,Tarrant
Blue Mound,"2,500",36,Tarrant
Blue Ridge,900,51,Collin
Boyd,"1,300",54,Wise
Briaroaks,500,48,Johnson
Bridgeport,"6,400",70,Wise
Burleson,"43,600",46,Tarrant
Caddo Mills,"1,500",41,Hunt
Campbell,700,59,Hunt
Carrollton,"133,200",19,Dallas
Cedar Hill,"48,500",17,Dallas
Celeste,800,62,Hunt
Celina,"7,700",42,Collin
Chico,"1,100",77,Wise
Cleburne,"30,000",50,Johnson
Cockrell Hill,"4,300",8,Dallas
Colleyville,"25,500",27,Tarrant
Combine,"2,100",25,"Dallas, Kaufman"
Commerce,"8,900",66,Hunt
Cool,200,76,Parker
Coppell,"41,200",22,Coppell
Copper Canyon,"1,400",33,Denton
Corinth,"21,000",34,Denton
Corrall City,,42,Denton
Cottonwood,200,39,Kaufman
Crandall,"3,200",24,Kaufman
Cresson,800,56,"Hood, Johnson, Parker"
Cross Roads,800,43,Denton
Crowley,"14,900",45,Tarrant
Dallas,"1,300,100",,Dallas
Dalworthington Gardens,"2,400",29,Tarrant
Decatur,"6,500",64,Wise
DeCordova,"2,800",67,Hood
Denton,"131,000",41,Denton
DeSoto,"52,500",16,Dallas
DISH,400,47,Denton
Double Oak,"3,100",32,Denton
Duncanville,"39,800",13,Dallas
Edgecliff Village,"3,000",39,Tarrant
Ennis,"19,000",35,Ellis
Euless,"54,200",19,Tarrant
Everman,"6,400",37,Tarrant
Fairview,"8,400",32,Collin
Farmers Branch,"32,700",17,Dallas
Farmersville,"3,400",44,Collin
Fate,"9,800",28,Rockwall
Ferris,"2,500",20,Ellis
Flower Mound,"71,300",28,Denton
Forest Hill,"12,900",35,Tarrant
Forney,"18,400",21,Kaufman
Fort Worth,"833,300",32,Tarrant
Frisco,"154,400",28,Collin
Garland,"236,900",18,Dallas
Garrett,800,32,Ellis
Glen Rose,"2,600",76,Somervell
Glenn Heights,"12,000",19,Dallas
Godley,"1,100",61,Johnson
Granbury,"9,400",70,Hood
Grand Prairie,"187,800",14,Dallas
Grandview,"1,600",48,Johnson
Grapevine,"51,400",23,Tarrant
Grays Prairie,400,39,Kaufman
Greenville,"26,500",51,Hunt
Hackberry,"1,000",33,Denton
Haltom City,"44,200",32,Tarrant
Haslet,"1,800",40,"Denton, Tarrant"
Hawk Cove,500,47,Hunt
Heath,"8,200",25,Rockwall
Hebron,400,23,Denton
Hickory Creek,"4,300",31,Denton
Highland Park,"9,200",6,Dallas
Highland Village,"16,100",30,Denton
Hudson Oaks,"2,200",55,Parker
Hurst,"39,000",25,Tarrant
Hutchins,"5,700",12,Dallas
Irving,"236,600",11,Dallas
Italy,"1,900",44,Ellis
Josephine,"1,100",39,"Collin, Hunt"
Joshua,"6,100",51,Johnson
Justin,"3,400",42,Denton
Kaufman,"7,200",33,Kaufman
Keene,"6,200",46,Johnson
Keller,"45,800",32,Tarrant
Kemp,"1,300",44,Kaufman
Kennedale,"7,700",33,Tarrant
Krugerville,"1,700",47,Denton
Lake Bridgeport,400,83,Wise
Lake Dallas,"7,900",33,Denton
Lake Worth,"4,800",42,Tarrant
Lakeside,"1,400",45,Tarrant
Lakewood Village,600,37,Denton
Lancaster,"38,800",17,Dallas
Lantana,"8,000",35,Denton
Lavon,"2,900",33,Collin
Lewisville,"104,000",25,Denton
Lincoln Park,300,42,Denton
Lipan,500,86,Hood
Little Elm,"38,300",36,Denton
Lone Oak,600,62,Hunt
Lowry Crossing,"1,800",38,Collin
Lucas,"6,900",31,Collin
